"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Nebraska"	"31"	"2001"	"2001"	"Non-Hispanic Black"	"7"	14	1355	10.33 (Unreliable)
	"Nebraska"	"31"	"2002"	"2002"	"Non-Hispanic White"	"6"	111	19121	5.81
	"Nebraska"	"31"	"2002"	"2002"	"Non-Hispanic Black"	"7"	28	1416	19.77
	"Nevada"	"32"	"1999"	"1999"	"Non-Hispanic White"	"6"	96	15575	6.16
	"Nevada"	"32"	"1999"	"1999"	"Non-Hispanic Black"	"7"	20	2117	9.45
	"Nevada"	"32"	"2000"	"2000"	"Non-Hispanic White"	"6"	78	15724	4.96
	"Nevada"	"32"	"2000"	"2000"	"Non-Hispanic Black"	"7"	27	2283	11.83
	"Nevada"	"32"	"2001"	"2001"	"Non-Hispanic White"	"6"	70	15323	4.57
	"Nevada"	"32"	"2001"	"2001"	"Non-Hispanic Black"	"7"	33	2414	13.67
	"Nevada"	"32"	"2002"	"2002"	"Non-Hispanic White"	"6"	91	15638	5.82
	"Nevada"	"32"	"2002"	"2002"	"Non-Hispanic Black"	"7"	38	2534	15.00
	"New Hampshire"	"33"	"1999"	"1999"	"Non-Hispanic White"	"6"	64	12753	5.02
	"New Hampshire"	"33"	"2000"	"2000"	"Non-Hispanic White"	"6"	66	13135	5.02
	"New Hampshire"	"33"	"2001"	"2001"	"Non-Hispanic White"	"6"	46	12849	3.58
	"New Hampshire"	"33"	"2002"	"2002"	"Non-Hispanic White"	"6"	62	12690	4.89
	"New Jersey"	"34"	"1999"	"1999"	"Non-Hispanic White"	"6"	297	64762	4.59
	"New Jersey"	"34"	"1999"	"1999"	"Non-Hispanic Black"	"7"	275	19151	14.36
	"New Jersey"	"34"	"2000"	"2000"	"Non-Hispanic White"	"6"	270	64098	4.21
	"New Jersey"	"34"	"2000"	"2000"	"Non-Hispanic Black"	"7"	263	19078	13.79
	"New Jersey"	"34"	"2001"	"2001"	"Non-Hispanic White"	"6"	270	63266	4.27
	"New Jersey"	"34"	"2001"	"2001"	"Non-Hispanic Black"	"7"	262	18710	14.00
	"New Jersey"	"34"	"2002"	"2002"	"Non-Hispanic White"	"6"	225	61741	3.64
	"New Jersey"	"34"	"2002"	"2002"	"Non-Hispanic Black"	"7"	233	18010	12.94
	"New Mexico"	"35"	"1999"	"1999"	"Non-Hispanic White"	"6"	70	9168	7.64
	"New Mexico"	"35"	"2000"	"2000"	"Non-Hispanic White"	"6"	56	9056	6.18
	"New Mexico"	"35"	"2000"	"2000"	"Non-Hispanic Black"	"7"	10	477	20.96 (Unreliable)
	"New Mexico"	"35"	"2001"	"2001"	"Non-Hispanic White"	"6"	59	8777	6.72
	"New Mexico"	"35"	"2002"	"2002"	"Non-Hispanic White"	"6"	45	8759	5.14
	"New York"	"36"	"1999"	"1999"	"Non-Hispanic White"	"6"	585	124484	4.70
	"New York"	"36"	"1999"	"1999"	"Non-Hispanic Black"	"7"	543	47512	11.43
	"New York"	"36"	"2000"	"2000"	"Non-Hispanic White"	"6"	622	125365	4.96
	"New York"	"36"	"2000"	"2000"	"Non-Hispanic Black"	"7"	581	47869	12.14
	"New York"	"36"	"2001"	"2001"	"Non-Hispanic White"	"6"	606	130637	4.64
	"New York"	"36"	"2001"	"2001"	"Non-Hispanic Black"	"7"	490	46709	10.49
	"New York"	"36"	"2002"	"2002"	"Non-Hispanic White"	"6"	628	130189	4.82
	"New York"	"36"	"2002"	"2002"	"Non-Hispanic Black"	"7"	499	45206	11.04
	"North Carolina"	"37"	"1999"	"1999"	"Non-Hispanic White"	"6"	493	71496	6.90
	"North Carolina"	"37"	"1999"	"1999"	"Non-Hispanic Black"	"7"	428	28286	15.13
	"North Carolina"	"37"	"2000"	"2000"	"Non-Hispanic White"	"6"	486	73966	6.57
	"North Carolina"	"37"	"2000"	"2000"	"Non-Hispanic Black"	"7"	437	29229	14.95
	"North Carolina"	"37"	"2001"	"2001"	"Non-Hispanic White"	"6"	465	70863	6.56
	"North Carolina"	"37"	"2001"	"2001"	"Non-Hispanic Black"	"7"	432	28250	15.29
	"North Carolina"	"37"	"2002"	"2002"	"Non-Hispanic White"	"6"	421	70234	5.99
	"North Carolina"	"37"	"2002"	"2002"	"Non-Hispanic Black"	"7"	410	27434	14.94
	"North Dakota"	"38"	"1999"	"1999"	"Non-Hispanic White"	"6"	39	6463	6.03
	"North Dakota"	"38"	"2000"	"2000"	"Non-Hispanic White"	"6"	43	6395	6.72
	"North Dakota"	"38"	"2001"	"2001"	"Non-Hispanic White"	"6"	52	6299	8.26
	"North Dakota"	"38"	"2002"	"2002"	"Non-Hispanic White"	"6"	35	6499	5.39
	"Ohio"	"39"	"1999"	"1999"	"Non-Hispanic White"	"6"	856	124221	6.89
	"Ohio"	"39"	"1999"	"1999"	"Non-Hispanic Black"	"7"	331	21572	15.34
	"Ohio"	"39"	"2000"	"2000"	"Non-Hispanic White"	"6"	801	124384	6.44
	"Ohio"	"39"	"2000"	"2000"	"Non-Hispanic Black"	"7"	337	23500	14.34
	"Ohio"	"39"	"2001"	"2001"	"Non-Hispanic White"	"6"	763	120885	6.31
	"Ohio"	"39"	"2001"	"2001"	"Non-Hispanic Black"	"7"	345	22777	15.15
